survey,survey_n,model_sedimentation_class,threshold_cm,threshold_label,survey_start_date,survey_end_date,survey_dates,measured_meter_positions,n_transects,positive_meter_positions,negative_meter_positions,positive_area,negative_area,net_positive_area,net_positive_area_lcl,net_positive_area_ucl,ci_note,evidence_positive_asymmetry
Con8,8,0 cm predicted (outside),1,1.0 cm,2026-01-15,2026-01-15,2026-01-15,459,9,34,103,0.07407407407407407,0.22440087145969498,-0.1503267973856209,-0.2200435729847494,-0.08061002178649238,Transect bootstrap CI,FALSE
Con9,9,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-01-24,2026-01-24,2026-01-24,102,2,45,49,0.4411764705882353,0.4803921568627451,-0.03921568627450983,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-01-24,2026-01-24,2026-01-24,102,2,32,40,0.3137254901960784,0.39215686274509803,-0.0784313725490196,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,1.0 cm predicted (dashed red),1,1.0 cm,2026-01-24,2026-01-24,2026-01-24,102,2,22,25,0.21568627450980393,0.24509803921568626,-0.02941176470588233,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-01-24,2026-01-24,2026-01-24,51,1,36,12,0.7058823529411765,0.23529411764705882,0.4705882352941177,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,1.5 mm predicted (solid red),0.5,0.5 cm,2026-01-24,2026-01-24,2026-01-24,51,1,24,7,0.47058823529411764,0.13725490196078433,0.3333333333333333,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,1.5 mm predicted (solid red),1,1.0 cm,2026-01-24,2026-01-24,2026-01-24,51,1,20,5,0.39215686274509803,0.09803921568627451,0.29411764705882354,NA,NA,CI not estimated: fewer than 3 transects,NA
Con9,9,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-01-24,2026-01-24,2026-01-24,459,9,167,245,0.3638344226579521,0.5337690631808278,-0.16993464052287577,-0.36388888888888893,0.008769063180827845,Transect bootstrap CI,FALSE
Con9,9,0 cm predicted (outside),0.5,0.5 cm,2026-01-24,2026-01-24,2026-01-24,459,9,97,142,0.2113289760348584,0.3093681917211329,-0.0980392156862745,-0.25931372549019616,0.046078431372548696,Transect bootstrap CI,FALSE
Con9,9,0 cm predicted (outside),1,1.0 cm,2026-01-24,2026-01-24,2026-01-24,459,9,48,89,0.10457516339869281,0.19389978213507625,-0.08932461873638343,-0.18082788671023967,5.446623093676967e-5,Transect bootstrap CI,FALSE
Con10,10,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-02-05,2026-02-05,2026-02-05,102,2,54,41,0.5294117647058824,0.4019607843137255,0.12745098039215685,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-02-05,2026-02-05,2026-02-05,102,2,40,35,0.39215686274509803,0.3431372549019608,0.04901960784313725,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,1.0 cm predicted (dashed red),1,1.0 cm,2026-02-05,2026-02-05,2026-02-05,102,2,28,27,0.27450980392156865,0.2647058823529412,0.009803921568627472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-02-05,2026-02-05,2026-02-05,102,2,46,44,0.45098039215686275,0.43137254901960786,0.019607843137254888,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,1.5 mm predicted (solid red),0.5,0.5 cm,2026-02-05,2026-02-05,2026-02-05,102,2,35,25,0.3431372549019608,0.24509803921568626,0.09803921568627452,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,1.5 mm predicted (solid red),1,1.0 cm,2026-02-05,2026-02-05,2026-02-05,102,2,19,17,0.18627450980392157,0.16666666666666666,0.019607843137254916,NA,NA,CI not estimated: fewer than 3 transects,NA
Con10,10,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-02-05,2026-02-05,2026-02-05,459,9,139,265,0.3028322440087146,0.5773420479302832,-0.2745098039215686,-0.42265795206971674,-0.1284858387799565,Transect bootstrap CI,FALSE
Con10,10,0 cm predicted (outside),0.5,0.5 cm,2026-02-05,2026-02-05,2026-02-05,459,9,78,175,0.16993464052287582,0.3812636165577342,-0.2113289760348584,-0.33551198257080606,-0.10887799564270159,Transect bootstrap CI,FALSE
Con10,10,0 cm predicted (outside),1,1.0 cm,2026-02-05,2026-02-05,2026-02-05,459,9,43,108,0.09368191721132897,0.23529411764705882,-0.14161220043572986,-0.27450980392156865,-0.03921568627450979,Transect bootstrap CI,FALSE
Con11,11,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-02-12,2026-02-12,2026-02-12,102,2,53,43,0.5196078431372549,0.4215686274509804,0.09803921568627455,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-02-12,2026-02-12,2026-02-12,102,2,47,35,0.46078431372549017,0.3431372549019608,0.11764705882352938,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,1.0 cm predicted (dashed red),1,1.0 cm,2026-02-12,2026-02-12,2026-02-12,102,2,31,25,0.30392156862745096,0.24509803921568626,0.05882352941176469,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-02-12,2026-02-12,2026-02-12,102,2,59,35,0.5784313725490197,0.3431372549019608,0.23529411764705888,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,1.5 mm predicted (solid red),0.5,0.5 cm,2026-02-12,2026-02-12,2026-02-12,102,2,37,18,0.3627450980392157,0.17647058823529413,0.18627450980392155,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,1.5 mm predicted (solid red),1,1.0 cm,2026-02-12,2026-02-12,2026-02-12,102,2,19,9,0.18627450980392157,0.08823529411764706,0.09803921568627451,NA,NA,CI not estimated: fewer than 3 transects,NA
Con11,11,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-02-12,2026-02-12,2026-02-12,459,9,134,254,0.29193899782135074,0.5533769063180828,-0.26143790849673204,-0.40964052287581704,-0.11323529411764714,Transect bootstrap CI,FALSE
Con11,11,0 cm predicted (outside),0.5,0.5 cm,2026-02-12,2026-02-12,2026-02-12,459,9,78,166,0.16993464052287582,0.3616557734204793,-0.19172113289760345,-0.3028322440087146,-0.0806100217864924,Transect bootstrap CI,FALSE
Con11,11,0 cm predicted (outside),1,1.0 cm,2026-02-12,2026-02-12,2026-02-12,459,9,36,108,0.0784313725490196,0.23529411764705882,-0.1568627450980392,-0.23965141612200436,-0.07189542483660132,Transect bootstrap CI,FALSE
Con12,12,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-02-20,2026-02-20,2026-02-20,102,2,37,58,0.3627450980392157,0.5686274509803921,-0.20588235294117646,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-02-20,2026-02-20,2026-02-20,102,2,25,44,0.24509803921568626,0.43137254901960786,-0.1862745098039216,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,1.0 cm predicted (dashed red),1,1.0 cm,2026-02-20,2026-02-20,2026-02-20,102,2,20,31,0.19607843137254902,0.30392156862745096,-0.10784313725490194,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-02-20,2026-02-20,2026-02-20,102,2,62,29,0.6078431372549019,0.28431372549019607,0.32352941176470584,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,1.5 mm predicted (solid red),0.5,0.5 cm,2026-02-20,2026-02-20,2026-02-20,102,2,39,18,0.38235294117647056,0.17647058823529413,0.20588235294117643,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,1.5 mm predicted (solid red),1,1.0 cm,2026-02-20,2026-02-20,2026-02-20,102,2,19,13,0.18627450980392157,0.12745098039215685,0.05882352941176472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con12,12,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-02-20,2026-02-20,2026-02-20,459,9,117,275,0.2549019607843137,0.599128540305011,-0.34422657952069724,-0.44662309368191716,-0.24177559912854032,Transect bootstrap CI,FALSE
Con12,12,0 cm predicted (outside),0.5,0.5 cm,2026-02-20,2026-02-20,2026-02-20,459,9,54,176,0.11764705882352941,0.38344226579520696,-0.2657952069716776,-0.355119825708061,-0.1829520697167756,Transect bootstrap CI,FALSE
Con12,12,0 cm predicted (outside),1,1.0 cm,2026-02-20,2026-02-20,2026-02-20,459,9,28,105,0.061002178649237473,0.22875816993464052,-0.16775599128540303,-0.2549019607843137,-0.09798474945533772,Transect bootstrap CI,FALSE
Con20,20,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,102,2,35,61,0.3431372549019608,0.5980392156862745,-0.2549019607843137,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,102,2,24,52,0.23529411764705882,0.5098039215686274,-0.2745098039215686,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.0 cm predicted (dashed red),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,102,2,17,39,0.16666666666666666,0.38235294117647056,-0.2156862745098039,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,102,2,54,41,0.5294117647058824,0.4019607843137255,0.12745098039215685,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,102,2,42,26,0.4117647058823529,0.2549019607843137,0.1568627450980392,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,102,2,18,15,0.17647058823529413,0.14705882352941177,0.02941176470588236,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,459,9,147,255,0.3202614379084967,0.5555555555555556,-0.23529411764705888,-0.30936819172113283,-0.16122004357298475,Transect bootstrap CI,FALSE
Con20,20,0 cm predicted (outside),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,459,9,80,159,0.17429193899782136,0.3464052287581699,-0.17211328976034856,-0.25054466230936817,-0.08496732026143791,Transect bootstrap CI,FALSE
Con20,20,0 cm predicted (outside),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,459,9,31,89,0.06753812636165578,0.19389978213507625,-0.12636165577342046,-0.1786492374727669,-0.07407407407407408,Transect bootstrap CI,FALSE
Con22,22,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,102,2,32,63,0.3137254901960784,0.6176470588235294,-0.303921568627451,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,102,2,22,49,0.21568627450980393,0.4803921568627451,-0.2647058823529412,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.0 cm predicted (dashed red),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,102,2,14,35,0.13725490196078433,0.3431372549019608,-0.20588235294117646,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,102,2,52,40,0.5098039215686274,0.39215686274509803,0.11764705882352938,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,102,2,31,20,0.30392156862745096,0.19607843137254902,0.10784313725490194,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,102,2,13,12,0.12745098039215685,0.11764705882352941,0.009803921568627444,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,459,9,172,232,0.3747276688453159,0.5054466230936819,-0.13071895424836605,-0.23099128540305014,-0.023910675381263655,Transect bootstrap CI,FALSE
Con22,22,0 cm predicted (outside),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,459,9,97,155,0.2113289760348584,0.33769063180827885,-0.12636165577342046,-0.21350762527233114,-0.04357298474945531,Transect bootstrap CI,FALSE
Con22,22,0 cm predicted (outside),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,459,9,45,78,0.09803921568627451,0.16993464052287582,-0.07189542483660132,-0.1372549019607843,-0.01307189542483661,Transect bootstrap CI,FALSE
Con24,24,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,102,2,32,64,0.3137254901960784,0.6274509803921569,-0.3137254901960784,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,102,2,25,48,0.24509803921568626,0.47058823529411764,-0.22549019607843138,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.0 cm predicted (dashed red),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,102,2,14,36,0.13725490196078433,0.35294117647058826,-0.21568627450980393,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,102,2,41,51,0.4019607843137255,0.5,-0.0980392156862745,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,102,2,27,28,0.2647058823529412,0.27450980392156865,-0.009803921568627472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,102,2,13,14,0.12745098039215685,0.13725490196078433,-0.009803921568627472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,408,8,111,243,0.27205882352941174,0.5955882352941176,-0.3235294117647059,-0.4362745098039216,-0.21323529411764708,Transect bootstrap CI,FALSE
Con24,24,0 cm predicted (outside),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,408,8,58,168,0.14215686274509803,0.4117647058823529,-0.2696078431372549,-0.3553921568627451,-0.18382352941176472,Transect bootstrap CI,FALSE
Con24,24,0 cm predicted (outside),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,408,8,30,94,0.07352941176470588,0.23039215686274508,-0.1568627450980392,-0.23529411764705882,-0.08817401960784318,Transect bootstrap CI,FALSE
Con25,25,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,30,67,0.29411764705882354,0.6568627450980392,-0.3627450980392157,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,20,59,0.19607843137254902,0.5784313725490197,-0.3823529411764707,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.0 cm predicted (dashed red),1,1.0 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,13,43,0.12745098039215685,0.4215686274509804,-0.29411764705882354,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-04-17,2026-04-17,2026-04-17,102,2,29,61,0.28431372549019607,0.5980392156862745,-0.3137254901960784,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),0.5,0.5 cm,2026-04-17,2026-04-17,2026-04-17,102,2,11,34,0.10784313725490197,0.3333333333333333,-0.22549019607843135,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),1,1.0 cm,2026-04-17,2026-04-17,2026-04-17,102,2,5,17,0.049019607843137254,0.16666666666666666,-0.11764705882352941,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,91,295,0.19825708061002179,0.6427015250544662,-0.4444444444444444,-0.5752178649237473,-0.3223856209150327,Transect bootstrap CI,FALSE
Con25,25,0 cm predicted (outside),0.5,0.5 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,47,190,0.10239651416122005,0.4139433551198257,-0.3115468409586057,-0.43142701525054467,-0.19166666666666668,Transect bootstrap CI,FALSE
Con25,25,0 cm predicted (outside),1,1.0 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,26,115,0.05664488017429194,0.25054466230936817,-0.19389978213507625,-0.29635076252723314,-0.10664488017429204,Transect bootstrap CI,FALSE
